"lhs","rhs","support","confidence","lift"
"{tropical fruit,domestic eggs,pastry}","{whole milk}",0.0013,0.8125,3.1798
"{sausage,whipped/sour cream,bottled water}","{other vegetables}",0.0013,0.8125,4.1991
"{root vegetables,other vegetables,whipped/sour cream,frozen vegetables}","{whole milk}",0.0013,0.8125,3.1798
"{citrus fruit,tropical fruit,whole milk,fruit/vegetable juice}","{other vegetables}",0.0013,0.8125,4.1991
"{pip fruit,root vegetables,other vegetables,soda}","{whole milk}",0.0013,0.8125,3.1798
"{yogurt,cereals}","{whole milk}",0.0017,0.8095,3.1682
"{hamburger meat,bottled beer}","{whole milk}",0.0017,0.8095,3.1682
"{whipped/sour cream,rolls/buns,waffles}","{whole milk}",0.0017,0.8095,3.1682
"{yogurt,whipped/sour cream,long life bakery product}","{whole milk}",0.0017,0.8095,3.1682
"{pip fruit,root vegetables,butter}","{whole milk}",0.0017,0.8095,3.1682
"{citrus fruit,tropical fruit,root vegetables,yogurt}","{other vegetables}",0.0017,0.8095,4.1837
"{hamburger meat,curd}","{whole milk}",0.0025,0.8065,3.1562
"{turkey,curd}","{other vegetables}",0.0012,0.8,4.1345
"{herbs,fruit/vegetable juice}","{other vegetables}",0.0012,0.8,4.1345
"{herbs,rolls/buns}","{whole milk}",0.0024,0.8,3.1309
"{onions,waffles}","{other vegetables}",0.0012,0.8,4.1345
"{turkey,tropical fruit,root vegetables}","{other vegetables}",0.0012,0.8,4.1345
"{turkey,root vegetables,whole milk}","{other vegetables}",0.0012,0.8,4.1345
"{butter,yogurt,soft cheese}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,grapes,root vegetables}","{other vegetables}",0.0012,0.8,4.1345
"{tropical fruit,grapes,whole milk}","{other vegetables}",0.002,0.8,4.1345
"{frankfurter,other vegetables,frozen meals}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,yogurt,frozen meals}","{whole milk}",0.0016,0.8,3.1309
"{other vegetables,butter milk,pastry}","{yogurt}",0.0012,0.8,5.7347
"{onions,whole milk,napkins}","{other vegetables}",0.0012,0.8,4.1345
"{hamburger meat,butter,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,hygiene articles,napkins}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,whipped/sour cream,salty snack}","{other vegetables}",0.0012,0.8,4.1345
"{butter,whipped/sour cream,long life bakery product}","{other vegetables}",0.0012,0.8,4.1345
"{chicken,butter,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{root vegetables,chocolate,napkins}","{whole milk}",0.0012,0.8,3.1309
"{pip fruit,butter,curd}","{whole milk}",0.0012,0.8,3.1309
"{rolls/buns,bottled beer,napkins}","{whole milk}",0.0012,0.8,3.1309
"{whipped/sour cream,domestic eggs,margarine}","{whole milk}",0.0012,0.8,3.1309
"{citrus fruit,tropical fruit,butter}","{whole milk}",0.0016,0.8,3.1309
"{whipped/sour cream,pastry,fruit/vegetable juice}","{yogurt}",0.0012,0.8,5.7347
"{sausage,pip fruit,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,whole milk,yogurt,cream cheese }","{other vegetables}",0.0012,0.8,4.1345
"{chicken,root vegetables,other vegetables,domestic eggs}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,butter,yogurt,whipped/sour cream}","{other vegetables}",0.0012,0.8,4.1345
"{tropical fruit,butter,yogurt,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{other vegetables,butter,whipped/sour cream,rolls/buns}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,pip fruit,whole milk,whipped/sour cream}","{other vegetables}",0.0016,0.8,4.1345
"{sausage,citrus fruit,other vegetables,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{citrus fruit,tropical fruit,yogurt,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,root vegetables,whipped/sour cream,rolls/buns}","{other vegetables}",0.0012,0.8,4.1345
